127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/a8.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/advantages.jpg HTTP/1.1" 404 1029
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/a3.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/a1.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/images/a2.png HTTP/1.1" 404 1013
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1049
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1047
127.0.0.1 - - [06/Aug/2022:14:20:44 +0530] "GET /ServletBankingApp/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1045
127.0.0.1 - - [06/Aug/2022:14:20:46 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:22:24 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:29:16 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:29:16 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:29:16 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:29:16 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:30:30 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2833
127.0.0.1 - - [06/Aug/2022:14:30:30 +0530] "GET /ServletBankingApp/css2/popuo-box.css HTTP/1.1" 200 7630
127.0.0.1 - - [06/Aug/2022:14:30:59 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2834
127.0.0.1 - - [06/Aug/2022:14:30:59 +0530] "GET /ServletBankingApp/css2/style.css HTTP/1.1" 200 10609
127.0.0.1 - - [06/Aug/2022:14:30:59 +0530] "GET /ServletBankingApp/css2/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:30:59 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:30:59 +0530] "GET /ServletBankingApp/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:32:26 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:32:26 +0530] "GET /ServletBankingApp/css2/style.css HTTP/1.1" 304 -
